"AMERICAN ALCOHOL"	[227435, 2956462.760000165]
"AMERICAN COCKTAILS"	[2109528, 22596766.450038657]
"Aged Dark Rum"	[151650, 2698514.5600000373]
"American Cordials & Liqueur"	[3081204, 13985056.509997768]
"American Distilled Spirit Specialty"	[95686, 1620377.5400000312]
"Canadian Whiskies"	[11603078, 169161456.83016822]
"Iowa Distillery Whiskies"	[9938, 341601.95999999996]
"MISCELLANEOUS  BRANDIES"	[25313, 396918.3100000124]
"Mixto Tequila"	[2698138, 35126710.27999912]
"ROCK & RYE"	[12163, 115926.53999999807]
"STRAWBERRY SCHNAPPS"	[71826, 539811.1900000435]
"Single Malt Scotch"	[339755, 15067158.970005801]
"Spiced Rum"	[5909414, 90779929.11999696]
"TENNESSEE WHISKIES"	[2581550, 56353041.510014914]
"WATERMELON SCHNAPPS"	[155386, 1692790.2899998992]
"BLACKBERRY BRANDIES"	[422844, 3693142.3800004525]
"BLENDED WHISKIES"	[4043347, 36882448.60998918]
"CANADIAN WHISKIES"	[11041774, 149836565.70004547]
"CINNAMON SCHNAPPS"	[178124, 1958491.75000003]
"FLAVORED RUM"	[2076862, 27062433.25000317]
"IMPORTED VODKA - MISC"	[1755595, 29362623.949995562]
"IMPORTED VODKA"	[3751520, 75997205.82999036]
"Imported Distilled Spirit Specialty"	[723109, 5532483.990000168]
"Imported Flavored Vodka"	[1499291, 25632731.21000104]
"Imported Gins"	[12, 265.56]
"Imported Vodkas"	[3661357, 67491042.20003344]
"PUERTO RICO & VIRGIN ISLANDS RUM"	[3594252, 39488458.719976775]
"ROOT BEER SCHNAPPS"	[97295, 863011.0500000019]
"SCOTCH WHISKIES"	[1105653, 23933026.790001668]
"TEQUILA"	[4047093, 67917718.70001642]
"AMERICAN AMARETTO"	[445392, 2836965.010000361]
"AMERICAN SLOE GINS"	[32286, 225721.61000000243]
"American Cordials & Liqueurs"	[10214, 134460.7100000003]
"American Dry Gins"	[1884834, 14193918.66999958]
"BUTTERSCOTCH SCHNAPPS"	[220794, 2127917.7099997397]
"Corn Whiskies"	[34316, 880406.5500000078]
"DECANTERS & SPECIALTY PACKAGES"	[618655, 12128595.040001309]
"DISTILLED SPIRITS SPECIALTY"	[824853, 8368252.129999814]
"Flavored Rum"	[2117954, 28419821.620000497]
"Gold Rum"	[406090, 5023589.489999542]
"Iowa Distilleries"	[15866, 546821.6000000295]
"LOW PROOF VODKA"	[8608, 142098.76000000167]
"Mezcal"	[19768, 562321.3800000156]
"Neutral Grain Spirits"	[195765, 2549045.1599999163]
"PEPPERMINT SCHNAPPS"	[871177, 6094406.139998146]
"RASPBERRY SCHNAPPS"	[71068, 595673.760000037]
"STRAIGHT BOURBON WHISKIES"	[3869817, 64586242.18001903]
"STRAIGHT RYE WHISKIES"	[560489, 14732149.579995139]
"Scotch Whiskies"	[908839, 21722203.580002185]
"TRIPLE SEC"	[815376, 3224545.9300001035]
"Whiskey Liqueur"	[8512268, 74163573.84999649]
"AMERICAN GRAPE BRANDIES"	[2599103, 15452690.080001172]
"American Brandies"	[3226376, 21295924.180012804]
"American Schnapps"	[2472099, 21974599.36999401]
"Bottled in Bond Bourbon"	[38606, 802712.2199999989]
"CREME DE ALMOND"	[6578, 45029.910000000054]
"Coffee Liqueurs"	[431598, 7534635.640000036]
"DARK CREME DE CACAO"	[32588, 222766.8400000119]
"Imported Cordials & Liqueur"	[9763, 202915.42999999961]
"Imported Cordials & Liqueurs"	[1602108, 33319595.460000817]
"Imported Dry Gins"	[773794, 18550950.740003955]
"JAMAICA RUM"	[78208, 1244902.4399999315]
"SINGLE BARREL BOURBON WHISKIES"	[36736, 1109693.4300000032]
"Temporary &  Specialty Packages"	[20143, 555908.5500000041]
"100 PROOF VODKA"	[888091, 7293404.449991976]
"100% Agave Tequila"	[1923373, 49509935.050003335]
"AMERICAN DRY GINS"	[2386698, 16685817.30000039]
"ANISETTE"	[5412, 37717.68000000015]
"American Distilled Spirits Specialty"	[1263, 24955.889999999996]
"American Sloe Gins"	[14447, 118666.97999999799]
"BOTTLED IN BOND BOURBON"	[25170, 746713.9500000137]
"CHERRY BRANDIES"	[79204, 614143.4300000069]
"COFFEE LIQUEURS"	[515209, 8650034.330002723]
"CORN WHISKIES"	[4991, 161492.36999999871]
"Cocktails / RTD"	[1861, 54300.90000000021]
"Cream Liqueurs"	[1468492, 27048180.83999636]
"GRAPE SCHNAPPS"	[139264, 1532047.9099999452]
"GREEN CREME DE MENTHE"	[45455, 312418.8900000151]
"HIGH PROOF BEER - AMERICAN"	[54, 6237.84]
"Holiday VAP"	[133, 3637.519999999999]
"Imported Distilled Spirits Specialty"	[706, 26145.72999999998]
"Imported Schnapps"	[1222750, 21020726.530006386]
"Irish Whiskies"	[1171462, 29708859.580003645]
"MISC. AMERICAN CORDIALS & LIQUEURS"	[957628, 12330607.520001106]
"Neutral Grain Spirits Flavored"	[96923, 1579712.840000002]
"OTHER PROOF VODKA"	[16524, 194604.4599999985]
"SCHNAPPS - IMPORTED"	[620, 13483.8]
"SINGLE MALT SCOTCH"	[296219, 12309033.81000494]
"Special Order Items"	[425907, 7117074.06000001]
"Straight Bourbon Whiskies"	[4875859, 91201128.66994888]
"Triple Sec"	[760261, 3066941.620000496]
"WHISKEY LIQUEUR"	[3791302, 52683798.31999552]
"WHITE CREME DE CACAO"	[35159, 240745.55000001297]
"American Vodka"	[13899, 371479.72000000236]
"American Vodkas"	[22123628, 202016334.50063667]
"CREAM LIQUEURS"	[1855783, 34055940.30998422]
"FLAVORED GINS"	[60145, 573140.2599999657]
"IMPORTED AMARETTO"	[86182, 1731142.7199999266]
"IMPORTED DRY GINS"	[777534, 17555609.750007104]
"IMPORTED GRAPE BRANDIES"	[1542165, 25039018.05000208]
"IMPORTED SCHNAPPS"	[1355941, 23266976.890007447]
"IRISH WHISKIES"	[742499, 18197588.500008598]
"Imported Vodka"	[55431, 1279419.4299999943]
"JAPANESE WHISKY"	[1713, 89197.08000000016]
"MISC. IMPORTED CORDIALS & LIQUEURS"	[1864885, 37576456.11999119]
"SPEARMINT SCHNAPPS"	[18558, 133730.77999999875]
"SPICED RUM"	[6591960, 99100655.32003036]
"Single Barrel Bourbon Whiskies"	[66004, 1997666.8099998531]
"Temporary  & Specialty Packages"	[125, 1638.7499999999998]
"VODKA 80 PROOF"	[17975458, 144708774.1202838]
"VODKA FLAVORED"	[3658573, 38378568.70001142]
"WHITE CREME DE MENTHE"	[10562, 73797.80000000053]
"White Rum"	[2333741, 26535743.359979805]
"AMARETTO - IMPORTED"	[1485, 69349.50000000006]
"APPLE SCHNAPPS"	[250882, 2617374.439999991]
"APRICOT BRANDIES"	[255892, 1908124.549999699]
"American Flavored Vodka"	[3741193, 38140219.650013]
"BARBADOS RUM"	[59126, 853159.2400000086]
"Blended Whiskies"	[3684048, 38094700.81998664]
"Cocktails /RTD"	[2219658, 24476757.370004676]
"Delisted / Special Order Items"	[12, 333.0]
"Delisted Items"	[149, 4589.920000000001]
"Distilled Spirits Specialty"	[873, 11907.720000000005]
"Flavored Gin"	[38871, 440468.5999999835]
"IMPORTED VODKA - CHERRY"	[222, 2348.76]
"Imported Brandies"	[2682898, 47924010.19001031]
"MISCELLANEOUS SCHNAPPS"	[177972, 1758144.0999998776]
"PEACH BRANDIES"	[114374, 747626.2800000316]
"PEACH SCHNAPPS"	[563920, 5671207.430000903]
"Straight Rye Whiskies"	[429237, 12058049.719998319]
"TROPICAL FRUIT SCHNAPPS"	[59626, 427617.53999996645]
"Temporary & Specialty Packages"	[1061960, 21789950.249998733]
"Tennessee Whiskies"	[2571967, 58851940.38997548]
